id;name;geoid;geoname;value;datetime
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;231.69;2021-06-08T13:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.87;2021-06-08T14:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;134.21;2021-06-08T15:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;132.11;2021-06-08T16:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;137.41;2021-06-08T17:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;236.05;2021-06-08T18:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;240.42;2021-06-08T19:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;241.82;2021-06-08T20:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;241.6;2021-06-08T21:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;146.42;2021-06-08T22:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;142.31;2021-06-08T23:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;108.44;2021-06-09T00:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;106.02;2021-06-09T01:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;101.76;2021-06-09T02:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;104.97;2021-06-09T03:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;107.91;2021-06-09T04:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.4;2021-06-09T05:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;109.98;2021-06-09T06:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;110.83;2021-06-09T07:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;147.87;2021-06-09T08:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;140.57;2021-06-09T09:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;232.88;2021-06-09T10:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;233.17;2021-06-09T11:00:00+02:00
1001;Término de facturación de energía activa del PVPC 2.0TD;8741;Península;233.46;2021-06-09T12:00:00+02:00
